state,county,NAME,median_age,pop_white,pop_black,pop_hispanic
36,109,"Tompkins County, New York",30.9,80.5,4.1,5.0
36,017,"Chenango County, New York",44.7,96.0,1.0,2.1
36,023,"Cortland County, New York",36.4,94.8,1.5,2.7
36,045,"Jefferson County, New York",32.4,86.1,6.0,7.4
36,065,"Oneida County, New York",41.2,85.7,6.2,5.6
36,103,"Suffolk County, New York",41.3,80.7,7.9,18.9
36,121,"Wyoming County, New York",41.9,91.6,4.5,3.3
36,015,"Chemung County, New York",41.3,88.0,6.1,3.0
36,075,"Oswego County, New York",40.0,95.6,1.1,2.5
36,077,"Otsego County, New York",42.0,93.4,2.1,3.6
36,117,"Wayne County, New York",43.6,93.2,2.9,4.3
36,001,"Albany County, New York",37.9,75.6,12.5,5.8
36,007,"Broome County, New York",39.8,85.9,5.7,4.1
36,029,"Erie County, New York",40.4,77.9,13.4,5.4
36,053,"Madison County, New York",41.7,94.7,1.8,2.2
36,105,"Sullivan County, New York",42.9,80.7,8.4,15.7
36,037,"Genesee County, New York",43.3,91.9,2.2,3.2
36,071,"Orange County, New York",36.9,74.0,10.8,20.0
37,079,"Greene County, North Carolina",41.2,58.4,35.7,14.8
37,121,"Mitchell County, North Carolina",47.1,96.4,0.4,5.3
37,041,"Chowan County, North Carolina",44.7,60.6,34.1,3.6
37,027,"Caldwell County, North Carolina",44.1,89.2,4.9,5.3
37,035,"Catawba County, North Carolina",41.4,79.0,8.1,9.4
37,049,"Craven County, North Carolina",36.6,70.3,21.7,7.2
37,065,"Edgecombe County, North Carolina",41.0,38.5,57.3,4.4
37,085,"Harnett County, North Carolina",34.2,67.5,20.8,12.4
37,089,"Henderson County, North Carolina",47.1,90.8,3.3,10.1
37,095,"Hyde County, North Carolina",40.0,66.3,30.3,9.9
37,119,"Mecklenburg County, North Carolina",35.0,54.5,31.3,13.0
37,131,"Northampton County, North Carolina",49.0,40.0,56.5,2.1
37,159,"Rowan County, North Carolina",40.2,77.4,16.0,8.6
37,181,"Vance County, North Carolina",40.7,43.6,50.1,7.6
37,053,"Currituck County, North Carolina",42.9,90.2,5.7,3.8
37,179,"Union County, North Carolina",38.0,81.5,11.4,11.0
37,067,"Forsyth County, North Carolina",38.3,66.2,26.1,12.6
37,127,"Nash County, North Carolina",41.4,52.9,39.2,6.8
37,017,"Bladen County, North Carolina",43.6,57.1,35.0,7.5
37,055,"Dare County, North Carolina",46.1,92.6,2.2,7.2
37,185,"Warren County, North Carolina",47.6,40.1,50.7,3.8
37,195,"Wilson County, North Carolina",40.6,51.1,39.5,10.2
37,015,"Bertie County, North Carolina",45.2,34.8,61.1,2.1
37,073,"Gates County, North Carolina",45.7,63.3,33.7,0.4
37,075,"Graham County, North Carolina",46.0,87.8,0.2,1.5
37,117,"Martin County, North Carolina",46.1,54.5,42.0,3.9
37,115,"Madison County, North Carolina",44.0,95.6,1.7,2.4
37,137,"Pamlico County, North Carolina",52.1,76.1,18.2,3.7
37,143,"Perquimans County, North Carolina",49.6,73.6,24.5,2.6
37,149,"Polk County, North Carolina",52.4,90.4,5.2,5.8
37,151,"Randolph County, North Carolina",41.5,84.4,6.3,11.2
37,157,"Rockingham County, North Carolina",44.5,75.7,18.5,6.0
37,169,"Stokes County, North Carolina",46.0,93.0,4.3,2.9
37,187,"Washington County, North Carolina",45.5,46.6,47.3,5.3
37,029,"Camden County, North Carolina",40.7,82.5,14.0,2.8
37,043,"Clay County, North Carolina",52.0,96.8,2.1,3.1
37,051,"Cumberland County, North Carolina",31.2,50.5,36.9,11.4
37,071,"Gaston County, North Carolina",40.1,76.9,16.0,6.8
37,081,"Guilford County, North Carolina",37.1,55.8,33.8,7.8
37,099,"Jackson County, North Carolina",37.5,83.7,2.3,5.6
37,125,"Moore County, North Carolina",44.5,82.6,12.7,6.5
37,155,"Robeson County, North Carolina",36.4,28.6,24.0,8.7
37,167,"Stanly County, North Carolina",42.3,84.0,11.2,4.1
37,183,"Wake County, North Carolina",36.0,65.8,20.3,10.1
37,199,"Yancey County, North Carolina",47.4,96.1,0.7,5.1
37,037,"Chatham County, North Carolina",46.7,80.5,11.6,12.4
37,111,"McDowell County, North Carolina",43.6,91.1,3.6,6.0
37,101,"Johnston County, North Carolina",38.1,77.5,15.6,13.5
37,103,"Jones County, North Carolina",47.2,65.6,31.2,4.6
37,145,"Person County, North Carolina",43.2,68.2,26.7,4.2
37,019,"Brunswick County, North Carolina",52.8,83.7,10.3,4.8
37,009,"Ashe County, North Carolina",47.7,95.1,0.7,5.0
37,013,"Beaufort County, North Carolina",45.7,71.4,25.5,7.6
37,107,"Lenoir County, North Carolina",42.2,55.0,39.4,7.6
37,109,"Lincoln County, North Carolina",43.2,89.2,5.0,7.1
37,133,"Onslow County, North Carolina",26.2,74.5,14.2,12.4
37,135,"Orange County, North Carolina",34.7,74.5,11.6,8.4
37,161,"Rutherford County, North Carolina",44.7,86.3,9.7,4.2
37,163,"Sampson County, North Carolina",40.3,64.4,25.2,19.3
37,197,"Yadkin County, North Carolina",44.1,91.6,3.8,10.9
37,011,"Avery County, North Carolina",44.4,91.5,4.5,5.1
37,023,"Burke County, North Carolina",43.6,84.7,6.5,6.0
37,033,"Caswell County, North Carolina",45.6,63.2,33.0,3.8
37,059,"Davie County, North Carolina",45.0,89.3,5.5,6.7
37,061,"Duplin County, North Carolina",40.6,70.6,24.5,21.9
37,063,"Durham County, North Carolina",35.2,51.4,37.0,13.4
37,105,"Lee County, North Carolina",38.2,73.4,19.8,19.2
37,129,"New Hanover County, North Carolina",38.7,81.0,14.0,5.4
37,191,"Wayne County, North Carolina",37.6,62.5,30.5,11.5
